mineralogy,Mineralogy,y
mineralogymethod,Mineralogy Method,n
minerals,Minerals,y
mode,Mode,n
modifiedtimestamp,Modified Timestamp,n
morphologies,Morphologies,y
name,Name,n
notes,Notes,n
notesoncrystalstructuresused,Notes on Crystal Structures Used,n
notesonpostprocessing,Notes on Post Processing,n
numericvalue,Numeric Value,n
objective,Objective,n
offset,Offset,n
offsetinparent,Offset in Parent,y
offsetunit,Offset Unit,n
operatingfrequency,Operating Frequency,n
operator,Operator,n
oppositepostion,Opposite Postion,n
orientationaxialtrace,Orientation Axial Trace,n
orientationinfo,Orientation Info,y
orientationmethod,Orientation Method,n
orientedsample,Oriented Sample,n
originalcenter,Original Center,n
originalimagesize,Original ImageSize,n
originalpath,Original Path,n
originalposition,Original Position,n
othermaterialtype,Other Material Type,n
othersamplingpurpose,Other Sampling Purpose,n
othershape,Other Shape,n
otherteammembers,Other Team Members,n
othertype,Other Type,n
parentid,Parent ID,y
percentage,Percentage,n
percentagecalculationmethod,Percentage Calculation Method,n
phase1,Phase 1,n
phase2,Phase 2,n
phases,Phases,y
pointinparent,Point in arent,n
pointorder,Point Order,n
points,Points,y
polish,Polish,n
polishdescription,Polish Description,n
polygon,Polygon,n
postprocessingsoftware,Post Processing Software,n
postprocessingsoftwareversion,Post Processing Software Version,n
projectlocation,Project Location,n
pseudotachylyteinfo,Pseudotachylyte Info,y
pseudotachylytes,Pseudotachylytes,y
purposeofstudy,Purpose of Study,n
reasoning,Reasoning,n
relativehumidity,Relative Humidity,n
relativeto,Relative to,n
resolution,Resolution,n
rgbcheck,RgbCheck,n
rotation,Rotation,y
sampledescription,Sample Description,n
sampleid,Sample ID,n
samplenotes,Sample Notes,n
sampleorientationnotes,Sample Orientation Notes,n
samples,Samples,y
samplesize,Sample Size,n
sampletemperature,Sample Temperature,n
sampletype,Sample Type,n
sampleunit,Sample Unit,n
scale,Scale,n
scalepixelspercentimeter,Scale Pixels per Centimeter,y
scanarea,Scan Area,n
scandimensions,Scan Dimensions,n
scantime,Scan Time,n
shape,Shape,n
showlabel,Show Label,n
sideplunge,Side Plunge,n
sidereferencecorner,Side Reference Corner,n
sidetrend,Side Trend,n
sizeunit,Size Unit,n
software,Software,n
spacing,Spacing,n
spacingunit,Spacing Unit,n
spatialresolution,Spatial Resolution,n
spectralresolution,Spectral Resolution,n
spoother,SPO Other,n
spotechnique,SPO Technique,n
spots,Spots,y
spotsize,Spot Size,n
standarddeviation,Standard Deviation,n
standardname,Standard Name,n
standards,Standards,n
startdate,Start Date,n
startpointorder,Start Point Order,n
startx,Start X,n
starty,Start Y,n
stepsize,Step Size,n
styloliticcleavage,Stylolitic Cleavage,n
subimageoriginalcenter,Sub Image Original Center,n
subimageoriginalheight,Sub Image Original Height,n
subimageoriginalrotation,Sub Image Original Rotation,n
subimageoriginalwidth,Sub Image Original Width,n
subimagepreviouscenter,Sub Image Previous Center,n
subtype,Sub Type,n
subtypes,Sub Types,y
sulphideoxidedistribution,Sulphide Oxide Distribution,n
sulphideoxidelowersize,Sulphide Oxide Lower Size,n
sulphideoxidelowersizeunit,Sulphide Oxide Lower Size Unit,n
sulphideoxidemineralogy,Sulphide Oxide Mineralogy,n
sulphideoxideuppersize,Sulphide Oxide Upper Size,n
sulphideoxideuppersizeunit,Sulphide Oxide Upper Size Unit,n
survivorclastsdistribution,Survivor Clasts Distribution,n
survivorclastsmargindescription,Survivor Clasts Margin Description,n
survivorclastsmineralogy,Survivor Clasts Mineralogy,n
symmetry,Symmetry,n
temperatureofroom,Temperature of Room,n
thickness,Thickness,n
thicknessunit,Thickness Unit,n
thicknessunits,Thickness Units,n
time,Time,n
tipdiameter,Tip Diameter,n
topcorner,Top Corner,n
topplunge,Top Plunge,n
topreferencecorner,Top Reference Corner,n
toptrend,Top Trend,n
trendplungedip,Trend Plunge Dip,n
trendplungestrike,Trend Plunge Strike,n
type,Type,n
types,Types,y
unit,Unit,n
university,University,n
url,Url,n
veininfo,Vein Info,y
veins,Veins,y
vergence,Vergence,n
vesciclesamygdulesdistribution,Vescicles Amygdules Distribution,n
vesciclesamygduleslowersize,Vescicles Amygdules Lower Size,n
vesciclesamygduleslowersizeunit,Vescicles Amygdules Lower Size Unit,n
vesciclesamygdulesmineralogy,Vescicles Amygdules Mineralogy,n
vesciclesamygdulesuppersize,Vescicles Amygdules Upper Size,n
vesciclesamygdulesuppersizeunit,Vescicles Amygdules Upper Size Unit,n
wavelength,Wavelength,n
wavelengthunit,Wavelength Unit,n
wavenumberrange,Wavenumber Range,n
width,Width,y
workingdistance,Working Distance,n
x,X,n
y,Y,n
foo,bar,y
